"uid","full_sci_name","match_type","BB_Accepted","BB_Accepted2","BB_Accepted3","BB_Accepted4","class","fuzzy_score"
"Monodelphis_sanctaerosae","Monodelphis sanctaerosae","1 - exact_fullsci_w_ssp","Monodelphis sanctaerosae",NA,NA,NA,"Mammalia",NA
"Monodelphis_scalops","Monodelphis scalops","1 - exact_fullsci_w_ssp","Monodelphis scalops",NA,NA,NA,"Mammalia",NA
"Monodon_monoceros","Monodon monoceros","1 - exact_fullsci_w_ssp","Monodon monoceros",NA,NA,NA,"Mammalia",NA
"Monophyllus_plethodon","Monophyllus plethodon","1 - exact_fullsci_w_ssp","Monophyllus plethodon",NA,NA,NA,"Mammalia",NA
"Monophyllus_redmani","Monophyllus redmani","1 - exact_fullsci_w_ssp","Monophyllus redmani",NA,NA,NA,"Mammalia",NA
"Monticolomys_koopmani","Monticolomys koopmani","1 - exact_fullsci_w_ssp","Monticolomys koopmani",NA,NA,NA,"Mammalia",NA
"Mops_bakarii","Mops bakarii","1 - exact_fullsci_w_ssp","Mops bakarii",NA,NA,NA,"Mammalia",NA
"Mops_brachypterus","Mops brachypterus","1 - exact_fullsci_w_ssp","Mops brachypterus",NA,NA,NA,"Mammalia",NA
"Mops_condylurus","Mops condylurus","1 - exact_fullsci_w_ssp","Mops condylurus",NA,NA,NA,"Mammalia",NA
"Mops_congicus","Mops congicus","1 - exact_fullsci_w_ssp","Mops congicus",NA,NA,NA,"Mammalia",NA
"Mops_demonstrator","Mops demonstrator","1 - exact_fullsci_w_ssp","Mops demonstrator",NA,NA,NA,"Mammalia",NA
"Mops_leucostigma","Mops leucostigma","1 - exact_fullsci_w_ssp","Mops leucostigma",NA,NA,NA,"Mammalia",NA
"Mops_midas","Mops midas","1 - exact_fullsci_w_ssp","Mops midas",NA,NA,NA,"Mammalia",NA
"Mops_mops","Mops mops","1 - exact_fullsci_w_ssp","Mops mops",NA,NA,NA,"Mammalia",NA
"Mops_nanulus","Mops nanulus","1 - exact_fullsci_w_ssp","Mops nanulus",NA,NA,NA,"Mammalia",NA
"Mops_niangarae","Mops niangarae","1 - exact_fullsci_w_ssp","Mops niangarae",NA,NA,NA,"Mammalia",NA
"Mops_niveiventer","Mops niveiventer","1 - exact_fullsci_w_ssp","Mops niveiventer",NA,NA,NA,"Mammalia",NA
"Mops_petersoni","Mops petersoni","1 - exact_fullsci_w_ssp","Mops petersoni",NA,NA,NA,"Mammalia",NA
