"Accepted","Synonym"
"Antidorcas_marsupialis","Antilope_marsupialis"
"Antilocapra_americana","Antilocapra_americana"
"Antilocapra_americana","Antilocapra_anteflexa"
"Antilocapra_americana","Antilope_americana"
"Antilocapra_americana","Capra_americana"
"Antilocapra_americana","Neomeryx_finni"
"Antilope_cervicapra","Antilope_cervicapra"
"Antilope_cervicapra","Capra_cervicapra"
"Antrozous_pallidus","Antrozous_pallidus"
"Aonyx_capensis","Aonyx_capensis"
"Aonyx_capensis","Anahyster_calabaricus"
"Aonyx_capensis","Aonyx_congicus"
"Aonyx_capensis","Aonyx_delalandi"
"Aonyx_capensis","Lutra_capensis"
"Aonyx_capensis","Lutra_inunguis"
"Aonyx_capensis","Lutra_lenoiri"
"Aonyx_capensis","Paraonyx_congicus"
"Aonyx_congicus","Aonyx_capensis"
"Aotus_azarae","Aotus_azarae"
"Aotus_azarae","Aotus_azarai"
"Aotus_azarae","Simia_azarae"
"Aotus_brumbacki","Aotus_brumbacki"
"Aotus_brumbacki","Aotus_lemurinus"
"Aotus_griseimembra","Aotus_griseimembra"
"Aotus_griseimembra","Aotus_bipunstatus"
"Aotus_griseimembra","Aotus_lemurinus"
"Aotus_jorgehernandezi","Aotus_jorgehernandezi"
"Aotus_lemurinus","Aotus_lemurinus"
"Aotus_lemurinus","Aotus_aversus"
"Aotus_lemurinus","Aotus_hershkovitzi"
"Aotus_lemurinus","Aotus_lanius"
"Aotus_lemurinus","Aotus_pervigilis"
"Aotus_lemurinus","Nyctipithecus_hirsutus"
"Aotus_lemurinus","Nyctipithecus_lemurinus"
"Aotus_lemurinus","Nyctipithecus_villosus"
"Aotus_miconax","Aotus_miconax"
"Aotus_nigriceps","Aotus_nigriceps"
"Aotus_nigriceps","Aotus_senex"
"Aotus_trivirgatus","Aotus_trivirgatus"
"Aotus_trivirgatus","Cheirogaleus_commersonii"
"Aotus_trivirgatus","Nyctipithecus_duruculi"
"Aotus_trivirgatus","Nyctipithecus_felinus"
"Aotus_trivirgatus","Nyctipithecus_trivirgatus"
"Aotus_trivirgatus","Simia_trivirgata"
"Aotus_vociferans","Aotus_vociferans"
"Aotus_vociferans","Aotus_gularis"
"Aotus_vociferans","Aotus_microdon"
"Aotus_vociferans","Nyctipithecus_oseryi"
"Aotus_vociferans","Nyctipithecus_rufipes"
"Aotus_vociferans","Nyctipithecus_spixi"
"Aotus_vociferans","Nyctipithecus_vociferans"
"Aotus_zonalis","Aotus_zonalis"
"Aotus_zonalis","Aotus_lemurinus"
"Aplodontia_rufa","Aplodontia_rufa"
"Aplodontia_rufa","Anisonyx_rufa"
"Apodemus_agrarius","Apodemus_agrarius"
"Apodemus_agrarius","Mus_agrarius"
"Apodemus_agrarius","Mus_harti"
"Apodemus_agrarius","Mus_ningpoensis"
"Apodemus_agrarius","Mus_rubens"
"Apodemus_alpicola","Apodemus_alpicola"
"Apodemus_alpicola","Apodemus_alpinus"
"Apodemus_argenteus","Apodemus_argenteus"
"Apodemus_argenteus","Apodemus_geisha"
"Apodemus_argenteus","Micromys_geisha"
"Apodemus_chevrieri","Apodemus_chevrieri"
"Apodemus_chevrieri","Apodemus_fergussoni"
"Apodemus_epimelas","Apodemus_epimelas"
"Apodemus_flavicollis","Apodemus_flavicollis"
"Apodemus_flavicollis","Apodemus_arianus"
"Apodemus_flavicollis","Apodemus_brauneri"
"Apodemus_flavicollis","Apodemus_cellarius"
"Apodemus_flavicollis","Apodemus_parvus"
"Apodemus_flavicollis","Apodemus_samariensis"
"Apodemus_flavicollis","Apodemus_wintoni"
"Apodemus_flavicollis","Mus_arianus"
"Apodemus_flavicollis","Mus_cellarius"
"Apodemus_flavicollis","Mus_erythronotus"
"Apodemus_flavicollis","Mus_flavicollis"
"Apodemus_flavicollis","Mus_sylvaticus"
"Apodemus_flavicollis","Sylvaemus_sylvaticus"
"Apodemus_gurkha","Apodemus_gurkha"
"Apodemus_gurkha","Apodemus_flavicollis"
"Apodemus_hyrcanicus","Apodemus_hyrcanicus"
"Apodemus_latronum","Apodemus_latronum"
"Apodemus_mystacinus","Apodemus_mystacinus"
"Apodemus_mystacinus","Apodemus_flavicollis"
"Apodemus_mystacinus","Mus_mystacinus"
"Apodemus_pallipes","Apodemus_pallipes"
"Apodemus_pallipes","Apodemus_wardi"
"Apodemus_pallipes","Micromys_sylvaticus"
"Apodemus_peninsulae","Apodemus_peninsulae"
"Apodemus_peninsulae","Apodemus_giliacus"
"Apodemus_peninsulae","Apodemus_majusculus"
"Apodemus_peninsulae","Apodemus_nigritalus"
"Apodemus_peninsulae","Apodemus_praetor"
"Apodemus_peninsulae","Apodemus_rufulus"
"Apodemus_peninsulae","Apodemus_tscherga"
"Apodemus_peninsulae","Micromys_speciosus"
"Apodemus_peninsulae","Mus_major"
"Apodemus_peninsulae","Mus_sylvaticus"
"Apodemus_peninsulae","Mus_tscherga"
"Apodemus_peninsulae","Sylvimus_sylvaticus"
"Apodemus_ponticus","Apodemus_ponticus"
"Apodemus_ponticus","Apodemus_flavicollis"
"Apodemus_rusiges","Apodemus_rusiges"
"Apodemus_rusiges","Mus_arianus"
"Apodemus_semotus","Apodemus_semotus"
"Apodemus_speciosus","Apodemus_speciosus"
"Apodemus_speciosus","Micromys_speciosus"
"Apodemus_sylvaticus","Apodemus_sylvaticus"
"Apodemus_sylvaticus","Apodemus_alpinus"
"Apodemus_sylvaticus","Apodemus_bergensis"
"Apodemus_sylvaticus","Apodemus_butei"
"Apodemus_sylvaticus","Apodemus_callipides"
"Apodemus_sylvaticus","Apodemus_celticus"
"Apodemus_sylvaticus","Apodemus_creticus"
"Apodemus_sylvaticus","Apodemus_cumbrae"
"Apodemus_sylvaticus","Apodemus_fiolagan"
"Apodemus_sylvaticus","Apodemus_flaviventris"
"Apodemus_sylvaticus","Apodemus_fridariensis"
"Apodemus_sylvaticus","Apodemus_ghia"
"Apodemus_sylvaticus","Apodemus_hebridensis"
"Apodemus_sylvaticus","Apodemus_hirtensis"
"Apodemus_sylvaticus","Apodemus_intermedius"
"Apodemus_sylvaticus","Apodemus_islandicus"
"Apodemus_sylvaticus","Apodemus_krkensis"
"Apodemus_sylvaticus","Apodemus_larus"
"Apodemus_sylvaticus","Apodemus_tirae"
"Apodemus_sylvaticus","Apodemus_tural"
"Apodemus_sylvaticus","Apodemus_vulgaris"
"Apodemus_sylvaticus","Micromys_sylvaticus"
"Apodemus_sylvaticus","Mus_algirus"
"Apodemus_sylvaticus","Mus_chamaeropsis"
"Apodemus_sylvaticus","Mus_hayi"
"Apodemus_sylvaticus","Mus_hebridensis"
"Apodemus_sylvaticus","Mus_hirtensis"
"Apodemus_sylvaticus","Mus_intermedius"
"Apodemus_sylvaticus","Mus_islandicus"
"Apodemus_sylvaticus","Mus_pecchioli"
"Apodemus_sylvaticus","Mus_reboudia"
"Apodemus_sylvaticus","Mus_sylvaticus"
"Apodemus_sylvaticus","Musculus_dichrurus"
"Apodemus_sylvaticus","Sylvaemus_sylvaticus"
"Apodemus_uralensis","Apodemus_uralensis"
"Apodemus_uralensis","Apodemus_arianus"
"Apodemus_uralensis","Apodemus_microps"
"Apodemus_uralensis","Apodemus_microtis"
"Apodemus_uralensis","Mus_major"
"Apodemus_uralensis","Mus_sylvaticus"
"Apodemus_uralensis","Mus_tokmak"
"Apodemus_uralensis","Mus_uralensis"
"Apodemus_uralensis","Sylvaemus_sylvaticus"
"Apodemus_witherbyi","Apodemus_witherbyi"
"Apodemus_witherbyi","Apodemus_fulvipectus"
"Apodemus_witherbyi","Apodemus_hermonensis"
"Apodemus_witherbyi","Mus_sylvaticus"
"Apodemus_witherbyi","Sylvaemus_fulvipectus"
"Apodemus_witherbyi","Sylvaemus_sylvaticus"
"Apomys_abrae","Apomys_abrae"
"Apomys_aurorae","Apomys_aurorae"
"Apomys_banahao","Apomys_banahao"
"Apomys_brownorum","Apomys_brownorum"
"Apomys_camiguinensis","Apomys_camiguinensis"
"Apomys_datae","Apomys_datae"
"Apomys_datae","Apomys_major"
"Apomys_gracilirostris","Apomys_gracilirostris"
"Apomys_insignis","Apomys_insignis"
"Apomys_insignis","Apomys_bardus"
"Apomys_iridensis","Apomys_iridensis"
"Apomys_littoralis","Apomys_littoralis"
"Apomys_lubangensis","Apomys_lubangensis"
"Apomys_magnus","Apomys_magnus"
"Apomys_microdon","Apomys_microdon"
"Apomys_microdon","Apomys_hollisteri"
"Apomys_minganensis","Apomys_minganensis"
"Apomys_musculus","Apomys_musculus"
"Apomys_sacobianus","Apomys_sacobianus"
"Apomys_sierrae","Apomys_sierrae"
"Apomys_zambalensis","Apomys_zambalensis"
"Aproteles_bulmerae","Aproteles_bulmerae"
"Arabitragus_jayakari","Hemitragus_jayakari"
"Arborimus_albipes","Arborimus_albipes"
"Arborimus_albipes","Phenacomys_albipes"
"Arborimus_longicaudus","Arborimus_longicaudus"
"Arborimus_longicaudus","Phenacomys_longicaudus"
"Arborimus_longicaudus","Phenacomys_silvicolus"
"Arborimus_pomo","Arborimus_pomo"
"Archaeolemur_edwardsi","Archaeolemur_edwardsi"
"Archboldomys_luzonensis","Archboldomys_luzonensis"
"Archboldomys_maximus","Archboldomys_maximus"
"Arctictis_binturong","Arctictis_binturong"
"Arctictis_binturong","Ictides_albifrons"
"Arctictis_binturong","Ictides_ater"
"Arctictis_binturong","Paradoxurus_albifrons"
"Arctictis_binturong","Viverra_binturong"
"Arctocebus_aureus","Arctocebus_aureus"
