"uid","full_sci_name","match_type","BB_Accepted","BB_Accepted2","BB_Accepted3","BB_Accepted4","p","c","o","f","fuzzy_score"
"Aethomys_hindei","Aethomys hindei","1 - exact_fullsci_w_ssp","Aethomys hindei",NA,NA,NA,"Chordata","Mammalia","Rodentia","Muridae",NA
"Aethomys_kaiseri","Aethomys kaiseri","1 - exact_fullsci_w_ssp","Aethomys kaiseri",NA,NA,NA,"Chordata","Mammalia","Rodentia","Muridae",NA
"Aethomys_nyikae","Aethomys nyikae","1 - exact_fullsci_w_ssp","Aethomys nyikae",NA,NA,NA,"Chordata","Mammalia","Rodentia","Muridae",NA
"Afronycteris_nanus","Afronycteris nanus","1 - exact_fullsci_w_ssp","Afronycteris nanus",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Ailuropoda_melanoleuca","Ailuropoda melanoleuca","1 - exact_fullsci_w_ssp","Ailuropoda melanoleuca",NA,NA,NA,"Chordata","Mammalia","Carnivora","Ursidae",NA
"Ailurops_ursinus","Ailurops ursinus","1 - exact_fullsci_w_ssp","Ailurops ursinus",NA,NA,NA,"Chordata","Mammalia","Diprotodontia","Phalangeridae",NA
"Ailurus_fulgens","Ailurus fulgens","1 - exact_fullsci_w_ssp","Ailurus fulgens",NA,NA,NA,"Chordata","Mammalia","Carnivora","Ailuridae",NA
"Ailurus_styani","Ailurus styani","1 - exact_fullsci_w_ssp","Ailurus styani",NA,NA,NA,"Chordata","Mammalia","Carnivora","Ailuridae",NA
"Akodon_affinis","Akodon affinis","1 - exact_fullsci_w_ssp","Akodon affinis",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Akodon_montensis","Akodon montensis","1 - exact_fullsci_w_ssp","Akodon montensis",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Alcelaphus_buselaphus","Alcelaphus buselaphus","1 - exact_fullsci_w_ssp","Alcelaphus buselaphus",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Bovidae",NA
"Alces_alces","Alces alces","1 - exact_fullsci_w_ssp","Alces alces",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Cervidae",NA
"Alexandromys_fortis","Alexandromys fortis","1 - exact_fullsci_w_ssp","Alexandromys fortis",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Alexandromys_kikuchii","Alexandromys kikuchii","1 - exact_fullsci_w_ssp","Alexandromys kikuchii",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Alexandromys_limnophilus","Alexandromys limnophilus","1 - exact_fullsci_w_ssp","Alexandromys limnophilus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Alexandromys_maximowiczii","Alexandromys maximowiczii","1 - exact_fullsci_w_ssp","Alexandromys maximowiczii",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Alexandromys_montebelli","Alexandromys montebelli","1 - exact_fullsci_w_ssp","Alexandromys montebelli",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Alexandromys_oeconomus","Alexandromys oeconomus","1 - exact_fullsci_w_ssp","Alexandromys oeconomus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Alionycteris_paucidentata","Alionycteris paucidentata","1 - exact_fullsci_w_ssp","Alionycteris paucidentata",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Pteropodidae",NA
